,exchange,combo,pom,eod
0,NSE,"['CNXCMDT', 'CNXMEDIA', 'CNXREALTY']",0.8076923076923077,0.8205128205128205
0,NSE,"['CNXCMDT', 'CNXMEDIA', 'NSEBANK']",0.810126582278481,0.810126582278481
0,NSE,"['CNXCMDT', 'CNXREALTY', 'NSEBANK']",0.810126582278481,0.810126582278481
0,NSE,"['CNXCONSUM', 'CNXENERGY', 'CNXFMCG']",0.7435897435897436,0.7435897435897436
0,NSE,"['CNXCONSUM', 'CNXENERGY', 'CNXINFRA']",0.717948717948718,0.8076923076923077
0,NSE,"['CNXCONSUM', 'CNXENERGY', 'CNXIT']",0.7307692307692307,0.6923076923076923
0,NSE,"['CNXCONSUM', 'CNXENERGY', 'CNXMEDIA']",0.7051282051282052,0.782051282051282
0,NSE,"['CNXCONSUM', 'CNXENERGY', 'CNXREALTY']",0.7051282051282052,0.782051282051282
0,NSE,"['CNXCONSUM', 'CNXENERGY', 'NSEBANK']",0.6962025316455697,0.7088607594936709
0,NSE,"['CNXCONSUM', 'CNXFMCG', 'CNXINFRA']",0.7435897435897436,0.8076923076923077
0,NSE,"['CNXCONSUM', 'CNXFMCG', 'CNXIT']",0.7307692307692307,0.7948717948717948
0,NSE,"['CNXCONSUM', 'CNXFMCG', 'CNXMEDIA']",0.7564102564102564,0.8076923076923077
0,NSE,"['CNXCONSUM', 'CNXFMCG', 'CNXREALTY']",0.7564102564102564,0.8076923076923077
0,NSE,"['CNXCONSUM', 'CNXFMCG', 'NSEBANK']",0.7215189873417721,0.7088607594936709
0,NSE,"['CNXCONSUM', 'CNXINFRA', 'CNXIT']",0.717948717948718,0.7564102564102564
0,NSE,"['CNXCONSUM', 'CNXINFRA', 'CNXMEDIA']",0.782051282051282,0.8205128205128205
0,NSE,"['CNXCONSUM', 'CNXINFRA', 'CNXREALTY']",0.782051282051282,0.8205128205128205
0,NSE,"['CNXCONSUM', 'CNXINFRA', 'NSEBANK']",0.6835443037974683,0.7468354430379747
0,NSE,"['CNXCONSUM', 'CNXIT', 'CNXMEDIA']",0.7307692307692307,0.7948717948717948
0,NSE,"['CNXCONSUM', 'CNXIT', 'CNXREALTY']",0.7307692307692307,0.7948717948717948
0,NSE,"['CNXCONSUM', 'CNXIT', 'NSEBANK']",0.759493670886076,0.7215189873417721
0,NSE,"['CNXCONSUM', 'CNXMEDIA', 'CNXREALTY']",0.7435897435897436,0.8076923076923077
0,NSE,"['CNXCONSUM', 'CNXMEDIA', 'NSEBANK']",0.759493670886076,0.7974683544303798
0,NSE,"['CNXCONSUM', 'CNXREALTY', 'NSEBANK']",0.759493670886076,0.7974683544303798
0,NSE,"['CNXENERGY', 'CNXFMCG', 'CNXINFRA']",0.7792207792207793,0.8181818181818182
0,NSE,"['CNXENERGY', 'CNXFMCG', 'CNXIT']",0.7792207792207793,0.8181818181818182
0,NSE,"['CNXENERGY', 'CNXFMCG', 'CNXMEDIA']",0.7272727272727273,0.8571428571428571
0,NSE,"['CNXENERGY', 'CNXFMCG', 'CNXREALTY']",0.7272727272727273,0.8571428571428571
0,NSE,"['CNXENERGY', 'CNXFMCG', 'NSEBANK']",0.7088607594936709,0.7721518987341772
